EXPERIMENT_ID,RESPONSE_TIME,TOTAL_TOKENS,PROMPT_TOKENS,COMPLETITION_TOKENS
0s_gpt-4-dev_4000MT_0T_0FP_JSON,118.47875543183918,1398.379746835443,545.0759493670886,853.3037974683544
0s_gpt-4-dev_4000MT_0T_1FP_JSON,617.6015276486361,1165.2151898734178,462.2911392405063,702.9240506329114
1s_FULL_gpt-35-turbo-dev_6000MT_0.25T_0.5FP,12.78098303155054,1729.1518987341772,1205.4683544303798,523.6835443037975
1s_FULL_gpt-35-turbo-dev_6000MT_0.25T_0FP,13.520475933823404,1811.0506329113923,1222.0759493670887,588.9746835443038
1s_FULL_gpt-35-turbo-dev_6000MT_0.5T_0FP,15.557516122166115,1807.4810126582279,1205.6582278481012,601.8227848101266
1s_FULL_gpt-35-turbo-dev_6000MT_0.5T_1FP,10.852503351018399,1686.987341772152,1226.367088607595,460.62025316455697
1s_FULL_gpt-35-turbo-dev_6000MT_0T_0.5FP,12.375520208213903,1737.2784810126582,1180.0506329113923,557.2278481012659
1s_FULL_gpt-35-turbo-dev_6000MT_0T_0FP,16.079302983947947,1758.746835443038,1162.392405063291,596.3544303797469
1s_FULL_gpt-35-turbo-dev_6000MT_0T_1FP,11.592678048942663,1656.9240506329113,1191.620253164557,465.30379746835445
1s_FULL_gpt-4-dev_4000MT_0.25T_0.5FP_JSON,297.3877542230147,1907.1645569620252,1195.3291139240507,711.8354430379746
1s_FULL_gpt-4-dev_4000MT_0.25T_0FP_JSON,76.20501777491992,1969.3291139240507,1210.3417721518988,758.9873417721519
1s_FULL_gpt-4-dev_4000MT_0.5T_0FP_JSON,64.93878479848934,1962.240506329114,1174.1012658227849,788.1392405063291
1s_FULL_gpt-4-dev_4000MT_0.5T_1FP_JSON,299.5293136608752,2230.1645569620255,1166.4683544303798,1063.6962025316457
1s_FULL_gpt-4-dev_4000MT_0T_0.5FP_JSON,376.3960060137737,1765.4303797468353,1129.2784810126582,636.1518987341772
1s_FULL_gpt-4-dev_4000MT_0T_0FP_JSON,65.3317301544962,1975.873417721519,1212.6455696202531,763.2278481012659
1s_FULL_gpt-4-dev_4000MT_0T_1FP_JSON,354.3994424554366,1848.0506329113923,1133.2025316455697,714.8481012658228
1s_gpt-35-turbo-dev_6000MT_0.25T_0.5FP,8.866034033932264,1654.4683544303798,1184.0632911392406,470.40506329113924
1s_gpt-35-turbo-dev_6000MT_0.25T_0FP,11.918250808232948,1785.493670886076,1171.7721518987341,613.7215189873418
1s_gpt-35-turbo-dev_6000MT_0.5T_0FP,13.273599380179297,1797.4430379746836,1193.0886075949368,604.3544303797469
1s_gpt-35-turbo-dev_6000MT_0.5T_1FP,7.497524735293811,1612.0,1206.9746835443038,405.0253164556962
1s_gpt-35-turbo-dev_6000MT_0T_0.5FP,9.89037987250316,1665.4810126582279,1164.6962025316457,500.7848101265823
1s_gpt-35-turbo-dev_6000MT_0T_0FP,15.36776880071133,1920.0253164556962,1207.7974683544303,712.2278481012659
1s_gpt-35-turbo-dev_6000MT_0T_1FP,7.947919945173625,1608.2025316455697,1212.2151898734178,395.9873417721519
1s_gpt-4-dev_4000MT_0.25T_0.5FP_JSON,221.2705619304995,1780.7721518987341,1153.139240506329,627.632911392405
1s_gpt-4-dev_4000MT_0.25T_0FP_JSON,172.86875881424433,1916.3164556962026,1179.5569620253164,736.7594936708861
1s_gpt-4-dev_4000MT_0.5T_0FP_JSON,77.61237031296838,1896.7974683544303,1154.493670886076,742.3037974683544
1s_gpt-4-dev_4000MT_0.5T_1FP_JSON,258.2191286811346,2060.7974683544303,1147.860759493671,912.9367088607595
1s_gpt-4-dev_4000MT_0T_0.5FP_JSON,315.11884334721145,1692.5949367088608,1126.0379746835442,566.5569620253165
1s_gpt-4-dev_4000MT_0T_0FP_JSON,90.99762519703636,1947.392405063291,1191.2025316455697,756.1898734177215
1s_gpt-4-dev_4000MT_0T_1FP_JSON,199.5973857354514,2160.6582278481014,1153.9367088607594,1006.7215189873418
