EXPERIMENT_ID,ASW_BLEU_SCORE,ASW_ROUGE_L_F1_SCORE,QST_BLEU_SCORE,QST_ROUGE_L_F1_SCORE
0s_gpt-4-dev_4000MT_0.5T_1FP_JSON,0.026329527420265023,0.049901276915640974,0.18389537313605925,0.34540062116827674
0s_gpt-4-dev_4000MT_0T_0FP_JSON,0.07802994494337849,0.09540112750341818,0.10512681789434279,0.2535682061134819
0s_gpt-4-dev_4000MT_0T_1FP_JSON,0.0206849856169946,0.05555555555555555,0.14894078737955108,0.2913862485086741
1s_FULL_gpt-35-turbo-dev_6000MT_0.25T_0.5FP,0.12510426961070786,0.1576015923336795,0.23161473947978212,0.39767189631629096
1s_FULL_gpt-35-turbo-dev_6000MT_0.25T_0FP,0.11749293212919636,0.1539809885309597,0.26842871223221504,0.4288930319380979
1s_FULL_gpt-35-turbo-dev_6000MT_0.5T_0FP,0.10896487522274123,0.15619908320875212,0.24227354948041369,0.4012664849790658
1s_FULL_gpt-35-turbo-dev_6000MT_0.5T_1FP,0.10518559378279328,0.15379045456695517,0.1534298520649051,0.3573358130425285
1s_FULL_gpt-35-turbo-dev_6000MT_0T_0.5FP,0.09753492638866115,0.12818962317431307,0.22710601108540443,0.3987724038658052
1s_FULL_gpt-35-turbo-dev_6000MT_0T_0FP,0.12109026393603183,0.15636864848867726,0.23871868411597325,0.3996761622800528
1s_FULL_gpt-35-turbo-dev_6000MT_0T_1FP,0.15697503630272666,0.19147842897842896,0.20770568885545995,0.3716565012134246
1s_FULL_gpt-4-dev_4000MT_0T_0FP_JSON,0.17747950445832505,0.20404002393128348,0.09112858452440527,0.23766037763581446
1s_gpt-35-turbo-dev_6000MT_0.25T_0.5FP,0.1100678948337468,0.1481619545580617,0.23611990263715646,0.3900778927076933
1s_gpt-35-turbo-dev_6000MT_0.25T_0FP,0.09912296825985997,0.1437405621562261,0.2617621726637162,0.42561323914486754
1s_gpt-35-turbo-dev_6000MT_0.5T_0FP,0.0894138757143813,0.14025953082061526,0.25387759167868384,0.4158597046755025
1s_gpt-35-turbo-dev_6000MT_0.5T_1FP,0.04036845526770095,0.06849668849668848,0.19193948406737285,0.3390359037782844
1s_gpt-35-turbo-dev_6000MT_0T_0.5FP,0.1475454443070459,0.17706997992176063,0.2251994633836342,0.3885842880420774
1s_gpt-35-turbo-dev_6000MT_0T_0FP,0.11448787225848495,0.1518963059514846,0.26452924190767974,0.425106527439909
1s_gpt-35-turbo-dev_6000MT_0T_1FP,0.09602659941786464,0.14051686248655942,0.16661983213384204,0.3208123780129759
1s_gpt-4-dev_4000MT_0T_0FP_JSON,0.05578831588063245,0.08907758972534882,0.09288917719804546,0.23751646441147276
